employee_id,date,attendance_status,hours_worked,tasks_completed,performance_rating
EMP2824,2024-03-08,Absent,6.11,3.0,3.1
EMP1409,2024-07-28,On Leave,6.7,10.0,3.1
EMP5506,2023-01-07,On Leave,8.66,4.0,3.4
EMP5012,2023-12-11,Present,6.36,8.0,3.4
EMP4657,2023-09-28,Work From Home,8.82,9.0,2.8
EMP3286,2023-03-22,Work From Home,7.93,7.0,3.0
EMP2679,2024-11-08,Present,6.8,6.0,4.6
EMP9935,2024-01-25,Absent,6.97,7.0,3.0
EMP2424,2024-12-19,Work From Home,9.28,3.0,0.0
EMP9666,2023-01-12,Absent,3.14,11.0,3.0
EMP1166,2023-10-07,Late,8.43,9.0,2.4
EMP8019,2023-04-24,Present,10.16,11.0,2.5
EMP1166,2024-12-07,Absent,6.095000000000001,13.0,1.5
EMP5542,2023-10-26,Work From Home,6.095000000000001,9.0,2.0
EMP5558,2024-02-28,Absent,0.65,4.0,5.0
EMP9179,2024-05-05,On Leave,10.97,6.0,4.7
EMP6947,2024-10-18,Work From Home,8.64,2.0,1.2
EMP9179,2024-12-04,Absent,4.14,4.0,3.0
EMP5558,2024-05-13,Work From Home,7.63,5.0,1.7
EMP5119,2024-01-08,On Leave,6.095000000000001,9.0,2.6
EMP4470,2023-01-19,Absent,4.35,5.0,2.4
EMP2796,2024-04-12,Absent,0.61,11.0,2.1
EMP3503,2023-03-07,Work From Home,4.98,10.0,2.9
EMP9022,2024-01-08,On Leave,9.9,7.0,2.3
EMP4470,2024-12-31,On Leave,3.74,11.0,4.6
EMP9494,2023-02-18,Late,10.39,10.0,1.5
EMP5291,2024-05-11,On Leave,0.0,8.0,1.3
EMP2530,2023-10-05,Present,3.68,7.0,3.9
EMP3184,2024-11-14,On Leave,6.37,10.0,3.5
EMP4228,2024-11-18,Absent,4.3,9.0,4.4
EMP9938,2023-04-06,Work From Home,0.53,7.0,3.0
EMP6553,2023-11-03,Work From Home,10.12,10.0,3.5
EMP3296,2023-04-15,On Leave,1.59,7.0,2.8
EMP5558,2024-04-30,Absent,6.095000000000001,7.0,4.0
EMP4510,2023-12-11,Present,8.03,12.0,4.4
EMP5135,2023-05-30,On Leave,1.65,9.0,3.8
EMP8433,2024-05-23,Late,10.92,15.0,1.9
EMP8433,2024-05-27,Late,9.14,3.0,4.4
EMP3170,2023-08-23,Late,11.54,0.0,3.3
EMP7930,2023-11-02,Present,6.095000000000001,11.0,3.2
EMP9938,2024-08-19,Absent,6.63,13.0,1.2
EMP9666,2023-08-05,Absent,4.95,4.0,1.7
EMP8433,2024-12-27,Present,2.71,9.0,2.0
EMP5497,2023-08-05,Late,5.94,10.0,2.4
EMP5119,2024-09-22,On Leave,9.7,15.0,2.7
EMP1753,2023-03-01,Work From Home,9.7,15.0,2.4
EMP3170,2024-12-04,Present,6.095000000000001,2.0,4.3
EMP2193,2024-10-06,On Leave,6.91,12.0,2.6
EMP7930,2024-01-18,Absent,8.43,1.0,3.0
EMP5291,2023-06-28,Absent,8.49,11.0,3.7
EMP9938,2023-11-05,Work From Home,5.05,3.0,2.1
EMP6862,2024-12-23,On Leave,10.96,7.0,5.0
EMP9494,2024-09-01,Present,3.09,2.0,2.6
EMP2193,2023-12-25,Present,4.13,8.0,2.1
EMP9727,2024-10-05,Late,1.17,1.0,4.2
EMP4258,2023-06-15,Work From Home,6.095000000000001,0.0,2.3
EMP1525,2023-09-11,Work From Home,7.88,8.0,4.3
EMP7615,2023-11-24,Absent,6.095000000000001,2.0,1.6
EMP5915,2024-11-11,Work From Home,11.28,5.0,3.3
EMP1006,2023-05-08,Late,3.42,5.0,2.8
EMP5915,2024-10-22,Present,6.095000000000001,9.0,4.4
EMP2193,2023-04-10,Late,5.26,14.0,1.3
EMP2796,2024-09-03,Late,10.59,15.0,3.1
EMP9727,2023-07-01,On Leave,11.42,15.0,4.0
EMP5497,2023-12-06,On Leave,8.29,1.0,4.7
EMP9938,2023-03-13,Present,1.7,0.0,4.0
EMP8019,2024-11-05,Work From Home,7.49,10.0,1.2
EMP9004,2023-07-03,Work From Home,1.28,3.0,1.6
EMP8433,2024-02-27,On Leave,0.3,10.0,4.2
EMP1006,2023-08-19,On Leave,11.91,3.0,4.8
EMP1166,2024-11-27,Present,7.33,4.0,3.0
EMP9938,2023-04-04,On Leave,11.36,7.0,4.5
